"","SiteSubsitePlot","Class","CoverChange","Duration"
"94","ABISKO:PEATLAND:AA1","Low_Arctic",0,13
"95","ABISKO:PEATLAND:AA1","Low_Arctic_Boreal",1.20493843644202,13
"96","ABISKO:PEATLAND:AA2","Boreal",0,13
"97","ABISKO:PEATLAND:AA2","Cosmopolitan",-0.126030197629243,13
"98","ABISKO:PEATLAND:AA2","High_Low_Arctic",0,13
"99","ABISKO:PEATLAND:AA2","Low_Arctic",0,13
"100","ABISKO:PEATLAND:AA2","Low_Arctic_Boreal",0.126030197629243,13
"101","ABISKO:PEATLAND:AA3","Boreal",0,13
"102","ABISKO:PEATLAND:AA3","Cosmopolitan",-1.25244773885318,13
"103","ABISKO:PEATLAND:AA3","High_Low_Arctic",0,13
"104","ABISKO:PEATLAND:AA3","Low_Arctic",0,13
"105","ABISKO:PEATLAND:AA3","Low_Arctic_Boreal",1.25244773885318,13
"106","ABISKO:PEATLAND:AA4","Boreal",0,13
"107","ABISKO:PEATLAND:AA4","Cosmopolitan",-1.89017511817791,13
"108","ABISKO:PEATLAND:AA4","High_Low_Arctic",0,13
"109","ABISKO:PEATLAND:AA4","Low_Arctic",0,13
"110","ABISKO:PEATLAND:AA4","Low_Arctic_Boreal",1.89017511817791,13
"111","ABISKO:PEATLAND:AA5","Boreal",0,13
"112","ABISKO:PEATLAND:AA5","Cosmopolitan",-1.12642655995257,13
"113","ABISKO:PEATLAND:AA5","High_Low_Arctic",0,13
"114","ABISKO:PEATLAND:AA5","Low_Arctic",0,13
"115","ABISKO:PEATLAND:AA5","Low_Arctic_Boreal",1.12642655995257,13
"116","ABISKO:lower_forest:ALFc1","Boreal",0,10
"117","ABISKO:lower_forest:ALFc1","Cosmopolitan",4.19690576652602,10
"118","ABISKO:lower_forest:ALFc1","High_Low_Arctic",0,10
"119","ABISKO:lower_forest:ALFc1","Low_Arctic",0,10
"120","ABISKO:lower_forest:ALFc1","Low_Arctic_Boreal",-4.19690576652602,10
"121","ABISKO:lower_forest:ALFc2","Boreal",0,10
"122","ABISKO:lower_forest:ALFc2","Cosmopolitan",2.55645161290323,10
