"","Species","TimesColonised","Class"
"86","Rhodiola rosea",7,"Cosmopolitan"
"87","Alopecurus alpinus",6,"Cosmopolitan"
"88","Cochlearia officinalis",6,"Low_Arctic_Boreal"
"89","Eriophorum scheuchzeri",6,"Cosmopolitan"
"90","Galium boreale",6,"Low_Arctic_Boreal"
"91","Luzula arcuata",6,"Low_Arctic_Boreal"
"92","Poa pratensis",6,"Cosmopolitan"
"93","Salix phlebophylla",6,"Low_Arctic_Boreal"
"94","Calamagrostis inexpansa",5,"Boreal"
"95","Cardamine bellidifolia",5,"Cosmopolitan"
"96","Cardamine digitalis",5,"Low_Arctic_Boreal"
"97","Cardamine pratensis",5,"Cosmopolitan"
"98","Carex capillaris",5,"Low_Arctic_Boreal"
"99","Carex microglochin",5,"Low_Arctic_Boreal"
"100","Carex rotundata",5,"Low_Arctic_Boreal"
"101","Cerastium alpinum",5,"Cosmopolitan"
"102","Cerastium arcticum",5,"High_Low_Arctic"
"103","Dryas octopetala",5,"Cosmopolitan"
"104","Euphrasia frigida",5,"Low_Arctic"
"105","Gnaphalium supinum",5,"Low_Arctic_Boreal"
"106","Kalmia procumbens",5,"Low_Arctic_Boreal"
"107","Minuartia biflora",5,"Cosmopolitan"
"108","Oreomecon radicata",5,"Boreal"
"109","Oxytropis nigrescens",5,"Cosmopolitan"
"110","Pedicularis sudetica",5,"Cosmopolitan"
"111","Ranunculus acris",5,"Low_Arctic_Boreal"
"112","Rhododendron lapponicum",5,"Cosmopolitan"
"113","Vahlodea atropurpurea",5,"Low_Arctic_Boreal"
"114","Alopecurus magellanicus",4,"Cosmopolitan"
"115","Betula pubescens",4,"Low_Arctic_Boreal"
"116","Calamagrostis stricta",4,"Cosmopolitan"
"117","Carex rariflora",4,"Low_Arctic_Boreal"
"118","Cerastium beeringianum",4,"Cosmopolitan"
"119","Festuca altaica",4,"Low_Arctic_Boreal"
"120","Festuca vivipara",4,"Low_Arctic_Boreal"
"121","Galium verum",4,"Low_Arctic_Boreal"
"122","Hieracium alpinum",4,"Low_Arctic_Boreal"
"123","Oxytropis campestris",4,"Low_Arctic_Boreal"
"124","Oxytropis maydelliana",4,"Cosmopolitan"
"125","Poa glauca",4,"Cosmopolitan"
"126","Antennaria alpina",3,"Low_Arctic_Boreal"
"127","Antennaria friesiana",3,"Cosmopolitan"
"128","Arnica griscomii",3,"Low_Arctic_Boreal"
"129","Calamagrostis holmii",3,"Low_Arctic_Boreal"
"130","Draba lactea",3,"Cosmopolitan"
"131","Euphrasia arctica",3,"Boreal"
"132","Festuca baffinensis",3,"Cosmopolitan"
