"","SPECIES_CLEAN","Duration","Start","End","CoverChangePerYear","X","ClassNew","Synonym","family","FunctionalGroup","Woodiness","Deciduousness","BerryCat","N_fixer","PlantHeight","SLA","SeedMass","LeafN","LeafCN","MeanCoverChange","TimesColonised"
"201","Ranunculus acris",5,2.7027027027027,3.6036036036036,0.18018018018018,44,"Boreal-tundra boundary",NA,"Ranunculaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.243049345417925,21.1025006247015,1.49845454545455,21.4356436426518,16.9444381441829,0.111064088820695,5
"202","Rhinanthus minor",5,0.900900900900901,0.900900900900901,0,75,"Boreal-tundra boundary",NA,"Orobanchaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.352727272727273,15.7789741878547,2.0652,34.8952799904974,11.812895194,0.0413344825109531,0
"203","Sagina saginoides",5,0.900900900900901,0,-0.18018018018018,68,"Boreal-tundra boundary",NA,"Caryophyllaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.073,NA,NA,NA,NA,-0.195353247984827,0
"204","Scorzoneroides autumnalis",5,0.900900900900901,0.900900900900901,0,60,"Boreal-tundra boundary",NA,"Asteraceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.156873015873016,25.3420476019698,0.661818181818182,21.9422230317941,19.4820955022,0.156583238083626,1
"205","Veronica alpina",5,0.900900900900901,1.8018018018018,0.18018018018018,45,"Ubiquitous",NA,"Plantaginaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.06525,22.3982178405344,0.0558714285714286,29.0318531516164,NA,-0.0130845707299463,3
"206","Viola palustris",5,3.6036036036036,3.6036036036036,0,58,"Boreal-tundra boundary",NA,"Violaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.117604166666667,NA,NA,NA,NA,0.288257120335138,1
"207","Omalotheca supina",5,1.88679245283019,0.892857142857143,-0.198787061994609,55,"Boreal-tundra boundary",NA,"Asteraceae","Forb","Not woody","Not applicable","Not berry","Not fixer",NA,NA,NA,NA,NA,-0.544962928270536,0
"208","Sibbaldia procumbens",5,5.66037735849057,0.892857142857143,-0.953504043126685,35,"Boreal-tundra boundary",NA,"Rosaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.0306,17.0642275140432,NA,27.73625,NA,-0.0147155095728177,9
"209","Viola biflora",5,2.83018867924528,1.78571428571429,-0.2088948787062,40,"Boreal-tundra boundary",NA,"Violaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.0418432835820896,43.9717505286,NA,43.5975,NA,0.182997049184616,10
"210","Agrostis mertensii",5,0,1.53846153846154,0.307692307692308,31,"Boreal-tundra boundary",NA,"Poaceae","Graminoid","Not woody","Not applicable","Not berry","Not fixer",0.140898550724638,25.5882313197826,0.143333333333333,NA,NA,-0.290513795273259,9
"211","Dactylorhiza viridis",5,0,0.769230769230769,0.153846153846154,250,"Boreal-tundra boundary","Coeloglossum viride","Orchidaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.21875,NA,NA,NA,NA,-0.00422928663951182,1
"212","Pilosella officinarum",5,5.88235294117647,0,-1.17647058823529,249,"Boreal specialist","Not available","Asteraceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.0779479166666667,16.2432553066342,0.140666666666667,23.1716822959415,21.7861971477017,-0.354808590102708,0
"213","Pyrola minor",5,1.88679245283019,1.0752688172043,-0.162304727125177,50,"Boreal-tundra boundary",NA,"Ericaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.0960507246376812,17.4575002175948,NA,NA,NA,0.237025542118347,3
