"","SiteSubsitePlot","SITE"
"253","PYRAMIDEN:PYR:18","PYRAMIDEN"
"254","PYRAMIDEN:PYR:20","PYRAMIDEN"
"255","PYRAMIDEN:PYR:22","PYRAMIDEN"
"256","PYRAMIDEN:PYR:27","PYRAMIDEN"
"257","PYRAMIDEN:PYR:30","PYRAMIDEN"
"258","PYRAMIDEN:PYR:31","PYRAMIDEN"
"259","PYRAMIDEN:PYR:35","PYRAMIDEN"
"260","PYRAMIDEN:PYR:37","PYRAMIDEN"
"261","PYRAMIDEN:PYR:41","PYRAMIDEN"
"262","PYRAMIDEN:PYR:44","PYRAMIDEN"
"263","PYRAMIDEN:PYR:45","PYRAMIDEN"
"264","PYRAMIDEN:PYR:46","PYRAMIDEN"
"265","PYRAMIDEN:PYR:47","PYRAMIDEN"
"266","PYRAMIDEN:PYR:48","PYRAMIDEN"
"267","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl6","ABISKO"
"268","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl5","ABISKO"
"269","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl4","ABISKO"
"270","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3","ABISKO"
"271","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2","ABISKO"
"272","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1","ABISKO"
"273","ABISKO:PEATLAND:AA1","ABISKO"
"274","ABISKO:PEATLAND:AA2","ABISKO"
"275","ABISKO:PEATLAND:AA3","ABISKO"
"276","ABISKO:PEATLAND:AA4","ABISKO"
"277","ABISKO:PEATLAND:AA5","ABISKO"
"278","ANWR:C2:C2","ANWR"
"279","ANWR:H1:H1","ANWR"
"280","ANWR:H3:H3","ANWR"
"281","ANWR:H4:H4","ANWR"
"282","ANWR:H5:H5","ANWR"
"283","ANWR:K1:K1","ANWR"
"284","ANWR:K2:K2","ANWR"
"285","ANWR:K3:K3","ANWR"
"286","ANWR:M10:M10","ANWR"
"287","ANWR:M11:M11","ANWR"
"288","ANWR:M4:M4","ANWR"
"289","ANWR:M7S:M7S","ANWR"
"290","ANWR:N11:N11","ANWR"
"291","ANWR:O11:O11","ANWR"
"292","ANWR:O12:O12","ANWR"
"293","ANWR:O13:O13","ANWR"
"294","ANWR:O15:O15","ANWR"
"295","ANWR:O18:O18","ANWR"
"296","ANWR:O19:O19","ANWR"
"297","ANWR:O3:O3","ANWR"
"298","ANWR:O6:O6","ANWR"
"299","ANWR:O7:O7","ANWR"
"300","ANWR:S1:S1","ANWR"
"301","ANWR:S4:S4","ANWR"
"302","ANWR:S6:S6","ANWR"
