"","ID","LAT","LONG","variable","year","month","celsius"
"158",2,78.71061,16.45535,"tas","1997","07",3.55000000000001
"159",2,78.71061,16.45535,"tas","1998","07",6.35000000000002
"160",2,78.71061,16.45535,"tas","1999","07",4.45000000000005
"161",2,78.71061,16.45535,"tas","2000","07",4.25
"162",2,78.71061,16.45535,"tas","2001","07",4.85000000000002
"163",2,78.71061,16.45535,"tas","2002","07",5.05000000000001
"164",2,78.71061,16.45535,"tas","2003","07",4.95000000000005
"165",2,78.71061,16.45535,"tas","2004","07",5.65000000000003
"166",2,78.71061,16.45535,"tas","2005","07",5.05000000000001
"167",2,78.71061,16.45535,"tas","2006","07",5.15000000000003
"168",2,78.71061,16.45535,"tas","2007","07",4.55000000000001
"169",2,78.71061,16.45535,"tas","2008","07",4.15000000000003
"170",2,78.71061,16.45535,"tas","2009","07",4.55000000000001
"171",2,78.71061,16.45535,"tas","2010","07",4.45000000000005
"172",2,78.71061,16.45535,"tas","2011","07",4.35000000000002
"173",2,78.71061,16.45535,"tas","2012","07",4.45000000000005
"174",2,78.71061,16.45535,"tas","2013","07",4.95000000000005
"175",2,78.71061,16.45535,"tas","2014","07",4.65000000000003
"176",2,78.71061,16.45535,"tas","2015","07",4.55000000000001
"177",2,78.71061,16.45535,"tas","2016","07",5.95000000000005
"178",2,78.71061,16.45535,"tas","2017","07",4.35000000000002
"179",2,78.71061,16.45535,"tas","2018","07",5.55000000000001
"180",2,78.71061,16.45535,"tas","2019","07",5.05000000000001
"181",2,78.71061,16.45535,"tas","1984","08",2.85000000000002
"182",2,78.71061,16.45535,"tas","1985","08",2.55000000000001
"183",2,78.71061,16.45535,"tas","1986","08",3.55000000000001
"184",2,78.71061,16.45535,"tas","1987","08",1.65000000000003
"185",2,78.71061,16.45535,"tas","1988","08",3.25
"186",2,78.71061,16.45535,"tas","1989","08",2.65000000000003
"187",2,78.71061,16.45535,"tas","1990","08",2.55000000000001
"188",2,78.71061,16.45535,"tas","1991","08",3.75
"189",2,78.71061,16.45535,"tas","1992","08",2.45000000000005
"190",2,78.71061,16.45535,"tas","1993","08",3.35000000000002
"191",2,78.71061,16.45535,"tas","1994","08",1.85000000000002
"192",2,78.71061,16.45535,"tas","1995","08",3.35000000000002
"193",2,78.71061,16.45535,"tas","1996","08",3.25
"194",2,78.71061,16.45535,"tas","1997","08",2.55000000000001
"195",2,78.71061,16.45535,"tas","1998","08",3.95000000000005
"196",2,78.71061,16.45535,"tas","1999","08",3.15000000000003
"197",2,78.71061,16.45535,"tas","2000","08",2.45000000000005
"198",2,78.71061,16.45535,"tas","2001","08",4.05000000000001
