"","SiteSubsitePlot","Duration"
"312","THUFUVER:PALSA:PALSA4_9",23
"313","THUFUVER:PALSA:PALSA5_2",23
"314","THUFUVER:PALSA:PALSA1_1",23
"315","THUFUVER:PALSA:PALSA1_10",23
"316","THUFUVER:PALSA:PALSA1_3",23
"317","THUFUVER:PALSA:PALSA1_4",22
"318","THUFUVER:PALSA:PALSA1_5",23
"319","THUFUVER:PALSA:PALSA1_6",23
"320","THUFUVER:PALSA:PALSA1_7",23
"321","THUFUVER:PALSA:PALSA1_9",23
"322","THUFUVER:PALSA:PALSA2_1",23
"323","THUFUVER:PALSA:PALSA2_14",23
"324","THUFUVER:PALSA:PALSA2_15",23
"325","THUFUVER:PALSA:PALSA2_16",23
"326","THUFUVER:PALSA:PALSA2_17",23
"327","THUFUVER:PALSA:PALSA2_18",23
"328","THUFUVER:PALSA:PALSA2_19",23
"329","THUFUVER:PALSA:PALSA2_2",23
"330","THUFUVER:PALSA:PALSA2_20",23
"331","THUFUVER:PALSA:PALSA2_3",23
"332","THUFUVER:PALSA:PALSA2_4",23
"333","THUFUVER:PALSA:PALSA4_1",23
"334","THUFUVER:PALSA:PALSA4_10",23
"335","THUFUVER:PALSA:PALSA4_2",23
"336","THUFUVER:PALSA:PALSA4_4",23
"337","THUFUVER:PALSA:PALSA4_5",23
"338","THUFUVER:PALSA:PALSA4_6",23
"339","THUFUVER:PALSA:PALSA4_7",23
"340","THUFUVER:PALSA:PALSA1_2",23
"341","THUFUVER:PALSA:PALSA1_8",23
"342","THUFUVER:PALSA:PALSA2_5",23
"343","THUFUVER:PALSA:PALSA2_7",23
"344","THUFUVER:PALSA:PALSA2_9",23
"345","THUFUVER:PALSA:PALSA4_3",23
"346","THUFUVER:PALSA:PALSA5_1",23
"347","THUFUVER:PALSA:PALSA5_3",23
"348","THUFUVER:PALSA:PALSA5_4",23
"349","THUFUVER:PALSA:PALSA5_5",22
"350","THUFUVER:PALSA:PALSA5_6",23
"351","THUFUVER:PALSA:PALSA5_8",6
"352","THUFUVER:PALSA:PALSA5_9",22
"353","THUFUVER:PALSA:PALSA3_18",23
"354","THUFUVER:PALSA:PALSA3_19",23
"355","THUFUVER:PALSA:PALSA3_11",23
"356","THUFUVER:PALSA:PALSA3_12",23
"357","THUFUVER:PALSA:PALSA3_13",23
"358","THUFUVER:PALSA:PALSA3_14",23
"359","THUFUVER:PALSA:PALSA3_17",23
"360","THUFUVER:PALSA:PALSA3_4",23
"361","THUFUVER:PALSA:PALSA3_5",23
"362","THUFUVER:PALSA:PALSA3_7",23
"363","THUFUVER:PALSA:PALSA3_9",6
"364","THUFUVER:PALSA:PALSA5_7",23
"365","THUFUVER:PALSA:PALSA3_10",23
"366","THUFUVER:PALSA:PALSA3_2",23
"367","THUFUVER:PALSA:PALSA3_3",23
"368","THUFUVER:PALSA:PALSA3_1",23
"369","THUFUVER:PALSA:PALSA3_15",23
"370","THUFUVER:PALSA:PALSA3_6",23
"371","THUFUVER:PALSA:PALSA3_8",23
"372","THUFUVER:SALIXHEATH:SALIXHEATH2_3",23
"373","THUFUVER:SALIXHEATH:SALIXHEATH2_2",23
"374","THUFUVER:SALIXHEATH:SALIXHEATH2_20",23
"375","THUFUVER:SALIXHEATH:SALIXHEATH2_7",23
"376","THUFUVER:SALIXHEATH:SALIXHEATH2_4",23
"377","THUFUVER:SALIXHEATH:SALIXHEATH3_9",23
"378","THUFUVER:SALIXHEATH:SALIXHEATH3_12",23
"379","THUFUVER:SALIXHEATH:SALIXHEATH3_20",23
"380","THUFUVER:SALIXHEATH:SALIXHEATH1_4",23
"381","THUFUVER:SALIXHEATH:SALIXHEATH2_8",23
"382","THUFUVER:SALIXHEATH:SALIXHEATH1_19",23
"383","THUFUVER:SALIXHEATH:SALIXHEATH2_18",23
"384","THUFUVER:SALIXHEATH:SALIXHEATH3_8",23
"385","THUFUVER:SALIXHEATH:SALIXHEATH2_19",23
